url,slug,title,description,expire_at,is_homebased,areas_clean,levels_clean,locations_names,locations_latitudes,locations_longitudes,company_name,company_slug,url_apply,url_details,is_internship,is_national_or_local,job_quintet,is_un2.0_relevant,is_un_org
https://untalent.org/jobs/senior-program-associate-food-loss-and-waste,senior-program-associate-food-loss-and-waste,Senior Program Associate – Food Loss and Waste,"**Senior Program Associate – Food Loss and Waste** 

**About WRI India** 

WRI India, an independent charity legally registered as the India Resources Trust, provides objective information and practi…",,,"['Information Management', 'IT & Telecom']",[],['New Delhi / Delhi'],[42.9824574],[-81.2503381],World Resources Institute,wri,https://untalent.org/jobs/senior-program-associate-food-loss-and-waste/apply,https://untalent.org/jobs/senior-program-associate-food-loss-and-waste/details,False,False,[],False,False
https://untalent.org/jobs/senior-program-associate-industrial-decarbonization-ranchi,senior-program-associate-industrial-decarbonization-ranchi,Senior Program Associate - Industrial Decarbonization (Ranchi),"**Who we are and what we do?**

 
WRI India, an independent charity legally registered as the India Resources Trust, provides objective information and practical proposals to foster environmentally s…",,,"['Information Management', 'IT & Telecom']",[],['India'],[22.3511148],[78.6677428],World Resources Institute,wri,https://untalent.org/jobs/senior-program-associate-industrial-decarbonization-ranchi/apply,https://untalent.org/jobs/senior-program-associate-industrial-decarbonization-ranchi/details,False,False,[],False,False
https://untalent.org/jobs/program-manager-urban-water-resilience,program-manager-urban-water-resilience,Program Manager – Urban Water Resilience,"**Program Manager – Urban Water Resilience**



**Who we are and what we do?**

WRI India, an independent charity legally registered as the India Resources Trust, provides objective information and p…",,,"['Information Management', 'IT & Telecom']",[],['Mumbai'],[19.0759899],[72.8773928],World Resources Institute,wri,https://untalent.org/jobs/program-manager-urban-water-resilience/apply,https://untalent.org/jobs/program-manager-urban-water-resilience/details,False,False,[],False,False
https://untalent.org/jobs/program-communication-lead-sustainable-cities,program-communication-lead-sustainable-cities,Program Communication Lead – Sustainable Cities,"**Program Communication Lead – Urban Development**



**Who we are and what we do?**

WRI India, an independent charity legally registered as the India Resources Trust, provides objective information…",,,['Communications & PR'],[],[],[],[],World Resources Institute,wri,https://untalent.org/jobs/program-communication-lead-sustainable-cities/apply,https://untalent.org/jobs/program-communication-lead-sustainable-cities/details,False,False,[],False,False
https://untalent.org/jobs/program-associate-food-loss-and-waste-1,program-associate-food-loss-and-waste-1,Program Associate – Food Loss and Waste,"**Program Associate – Food Loss and Waste** 

**About WRI India** 

WRI India, an independent charity legally registered as the India Resources Trust, provides objective information and practical pro…",,,"['Information Management', 'IT & Telecom']",[],['New Delhi / Delhi'],[42.9824574],[-81.2503381],World Resources Institute,wri,https://untalent.org/jobs/program-associate-food-loss-and-waste-1/apply,https://untalent.org/jobs/program-associate-food-loss-and-waste-1/details,False,False,[],False,False
https://untalent.org/jobs/consultant-administrative-assistant,consultant-administrative-assistant,Consultant - Administrative Assistant,"The International Water Management Institute (IWMI) is an international non-profit, research-for-development organization that works with governments, civil society, and private sector organizations …",,,[],[],[],[],[],International Water Management Institute,iwmi,https://untalent.org/jobs/consultant-administrative-assistant/apply,https://untalent.org/jobs/consultant-administrative-assistant/details,False,False,[],False,False
https://untalent.org/jobs/rfp300362-senior-associate-research,rfp300362-senior-associate-research,RFP300362 - Senior Associate – Research,"Job Description
---------------

 **SENIOR ASSOCIATE – RESEARCH**

 


**THE ORGANIZATION**

 


The Alliance of Bioversity International ([www.bioversityinternational.org](http://www.bioversityinter…",2025-03-24 12:30:25+00:00,,[],[],['Nairobi'],[-1.2832533],[36.8172449],Alliance of Bioversity International and CIAT,bioversity-ciat,https://untalent.org/jobs/rfp300362-senior-associate-research/apply,https://untalent.org/jobs/rfp300362-senior-associate-research/details,False,False,[],False,False
https://untalent.org/jobs/software-development-associate,software-development-associate,Software Development Associate,"**Background**

 

 The Enterprise Application Development (EAD) unit of the Information Technology Services (ITS) is responsible for developing sustainable and affordable IT solutions to meet UNOV/U…",2025-03-25 02:58:00+00:00,,[],[],['New Delhi / Delhi'],[42.9824574],[-81.2503381],United Nations Development Programme,,https://untalent.org/jobs/software-development-associate/apply,https://untalent.org/jobs/software-development-associate/details,False,False,['Digital'],True,True
https://untalent.org/jobs/project-office-messenger-1,project-office-messenger-1,Project Office Messenger,"**Background**

Reforms and Innovation(R&amp;I) in Government for High Performance (project) works under a cost sharing modality with the Ministry of Planning, Development and Special Initiatives.

T…",2025-03-24 18:59:00+00:00,,['Crisis & Emergency Response'],[],['Islamabad'],[33.6938118],[73.0651511],United Nations Development Programme,,https://untalent.org/jobs/project-office-messenger-1/apply,https://untalent.org/jobs/project-office-messenger-1/details,False,False,[],False,True
https://untalent.org/jobs/migration-research-fellow,migration-research-fellow,Migration Research Fellow,"**Background**

 
 

 **Diversity, Equity and Inclusion are core principles at UNDP: we value diversity as an expression of the multiplicity of nations and cultures where we operate, we foster inclus…",2025-03-24 03:59:00+00:00,True,['Crisis & Emergency Response'],['Internship'],[],[],[],United Nations Development Programme,,https://untalent.org/jobs/migration-research-fellow/apply,https://untalent.org/jobs/migration-research-fellow/details,True,False,[],False,True
