url,description,areas,levels,title,company,locations,expire_at,slug,is_homebased
https://untalent.org/jobs/office-assistant-372,"**Organizational Setting**

The Food and Agriculture Organization of the United Nations (FAO) contributes to the achievement of the 2030 Agenda through the FAO Strategic Framework by supporting the t…",[],[],Office Assistant,{'name': 'Food and Agriculture Organization of the United Nations'},"[{'name': 'Seoul', 'latitude': 37.5666791, 'longitude': 126.9782914}]",2025-03-27T22:59:00+00:00,office-assistant-372,
https://untalent.org/jobs/national-project-coordinator-youth-and-agrifood-value-chains-1,"**Organizational Setting**

The Food and Agriculture Organization of the United Nations (FAO) contributes to the achievement of the 2030 Agenda through the FAO Strategic Framework by supporting the t…",[],[],National Project Coordinator – Youth and Agrifood Value Chains,{'name': 'Food and Agriculture Organization of the United Nations'},"[{'name': 'Vietnam', 'latitude': 13.2904027, 'longitude': 108.4265113}]",2025-03-20T22:59:00+00:00,national-project-coordinator-youth-and-agrifood-value-chains-1,
https://untalent.org/jobs/innovation-specialist-agrifood-systems-science-technologies-and-innovations,"**Organizational Setting**

The Food and Agriculture Organization of the United Nations (FAO) contributes to the achievement of the 2030 Agenda through the FAO Strategic Framework by supporting the t…",[{'name': 'Innovation'}],[],"Innovation Specialist (Agrifood Systems, Science, Technologies and Innovations)",{'name': 'Food and Agriculture Organization of the United Nations'},"[{'name': 'Rome', 'latitude': 41.8933203, 'longitude': 12.4829321}]",2025-03-27T22:59:00+00:00,innovation-specialist-agrifood-systems-science-technologies-and-innovations,
https://untalent.org/jobs/area-manager-west-libya-open-to-internal-candidates,"The Norwegian Refugee Council (NRC) is a global humanitarian organisation helping people forced to flee. 

 


 Join us in assisting millions of people in areas where others cannot, tackling some of …",[{'name': 'Leadership'}],[],Area Manager West Libya - Open to internal candidates,{'name': 'Norwegian Refugee Council'},"[{'name': 'Tripoli', 'latitude': 32.896672, 'longitude': 13.1777923}]",2025-03-13T23:59:00+00:00,area-manager-west-libya-open-to-internal-candidates,
https://untalent.org/jobs/global-roving-emergency-livelihoods-and-food-security-specialist-open-to-internal-candidates,"The Norwegian Refugee Council (NRC) is a global humanitarian organisation helping people forced to flee. 

 


 Join us in assisting millions of people in areas where others cannot, tackling some of …","[{'name': 'Crisis & Emergency Response', 'slug': 'area-name'}]",[],Global Roving Emergency Livelihoods and Food Security Specialist - Open to internal candidates,{'name': 'Norwegian Refugee Council'},"[{'name': 'Oslo', 'latitude': 59.9133301, 'longitude': 10.7389701}]",2025-03-20T23:59:00+00:00,global-roving-emergency-livelihoods-and-food-security-specialist-open-to-internal-candidates,
https://untalent.org/jobs/liaison-and-access-technical-officer-bangladesh-coxs-bazar,"The Norwegian Refugee Council (NRC) is a global humanitarian organisation helping people forced to flee. 

 


 Join us in assisting millions of people in areas where others cannot, tackling some of …",[{'name': 'Communications & PR'}],[],Liaison and Access Technical Officer Bangladesh Cox's Bazar,{'name': 'Norwegian Refugee Council'},"[{'name': ""Cox's Bazar"", 'latitude': 23.7322479, 'longitude': 90.4249401}]",2025-03-20T17:59:00+00:00,liaison-and-access-technical-officer-bangladesh-coxs-bazar,
https://untalent.org/jobs/logistics-officer-bangladesh-coxs-bazar-ukhiya-1,"The Norwegian Refugee Council (NRC) is a global humanitarian organisation helping people forced to flee. 

 


 Join us in assisting millions of people in areas where others cannot, tackling some of …",[{'name': 'Logistics & Procurement'}],[],Logistics Officer Bangladesh Cox's Bazar Ukhiya,{'name': 'Norwegian Refugee Council'},"[{'name': 'Ukhia', 'latitude': 21.242147, 'longitude': 92.1399022}]",2025-03-15T17:59:00+00:00,logistics-officer-bangladesh-coxs-bazar-ukhiya-1,
https://untalent.org/jobs/wbpc-finance-and-admin-officer-jerusalem,"The Norwegian Refugee Council (NRC) is a global humanitarian organisation helping people forced to flee. 

 


 Join us in assisting millions of people in areas where others cannot, tackling some of …",[{'name': 'Finance & Economy'}],[],WBPC Finance and Admin Officer Jerusalem,{'name': 'Norwegian Refugee Council'},"[{'name': 'Jerusalem', 'latitude': 31.778345, 'longitude': 35.2250786}]",2025-03-20T21:59:00+00:00,wbpc-finance-and-admin-officer-jerusalem,
https://untalent.org/jobs/analista-de-adquisicion-de-talento,"**Ubicación: Quito\_Ecuador**

Plan International es una organización independiente de Desarrollo y Humanitaria sin fines de lucro que promueve los derechos de la niñez y la igualdad para las niñas. …",[],[],Analista de Adquisición de Talento,"{'name': 'Plan International', 'slug': 'plan-international'}","[{'name': 'Quito', 'latitude': -0.2201641, 'longitude': -78.5123274}]",,analista-de-adquisicion-de-talento,
https://untalent.org/jobs/charge-de-finance-partenariat,"*AVIS DE RECRUTEMENT INTERNE &amp; EXTERNE*
-------------------------------------------

 

Plan International est une organisation humanitaire et de développement indépendante qui fait progresser le…",[{'name': 'Finance & Economy'}],[],Chargé de finance partenariat,"{'name': 'Plan International', 'slug': 'plan-international'}","[{'name': 'Niamey', 'latitude': 13.524834, 'longitude': 2.109823}]",,charge-de-finance-partenariat,
