url,description,areas,levels,title,company,locations,slug,is_homebased,expire_at
https://untalent.org/jobs/sr-consortium-program-manager-1,"**Job Description**

**Program Brief**

The International Rescue Committee (IRC) responds to the world's worst humanitarian crises, helping to restore health, safety, education, economic wellbeing, a…",[{'name': 'Programme & Policy'}],[],Sr. Consortium Program Manager,{'name': 'The International Rescue Committee'},"[{'name': ""Cox's Bazar"", 'latitude': 23.7322479, 'longitude': 90.4249401}]",sr-consortium-program-manager-1,,
https://untalent.org/jobs/field-coordinator-cherati-hargelle-somali-region,"**ORGANIZATIONAL OVERVIEW**

FHI 360 is a nonprofit human development organization dedicated to improving lives in lasting ways by advancing integrated, locally driven solutions. Our staff includes e…",[],[],"Field Coordinator - Cherati/Hargelle, Somali Region",{'name': 'FHI 360'},[],field-coordinator-cherati-hargelle-somali-region,,
https://untalent.org/jobs/innovation-analyst-home-based,"**Office/Unit/Project Description**

UNDP is the knowledge frontier organization for sustainable development in the UN Development System and serves as the integrator for collective action to realize…","[{'name': 'Environment'}, {'name': 'Innovation'}]","[{'name': 'Entry'}, {'name': 'Mid'}]",Innovation Analyst (Home-Based),"{'name': 'United Nations Development Programme', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/9/9f/UNDP_logo.svg'}","[{'name': 'Panama City', 'latitude': 8.9714493, 'longitude': -79.5341802}]",innovation-analyst-home-based,True,2025-07-13T03:59:00+00:00
https://untalent.org/jobs/programme-management-officer-1272,"Org. Setting and Reporting

The United Nations Environment Programme (UNEP) is the UN system's designated entity for addressing environmental issues at the global and regional levels. Its mandate is …","[{'name': 'Finance & Economy'}, {'name': 'Programme & Policy'}]",[{'name': 'Senior'}],PROGRAMME MANAGEMENT OFFICER,"{'name': 'United Nations Environment Programme', 'slug': 'unep', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/d/d0/PNUMA_logo.png'}","[{'name': 'Nairobi', 'latitude': -1.2832533, 'longitude': 36.8172449}]",programme-management-officer-1272,,2025-07-28T03:59:59+00:00
https://untalent.org/jobs/consultancy-genu-cross-sectoral-communications-advisor-consultant-req,"UNICEF works in some of the world’s toughest places, to reach the world’s most disadvantaged children. To save their lives. To defend their rights. To help them fulfill their potential.

Across 190 c…","[{'name': 'Programme & Policy'}, {'name': 'Teaching & Training'}]",[{'name': 'Consultant'}],Consultancy: GenU Cross-sectoral Communications Advisor - Consultant - Req,"{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'New York', 'latitude': 40.7127281, 'longitude': -74.0060152}]",consultancy-genu-cross-sectoral-communications-advisor-consultant-req,,2025-07-12T03:55:00+00:00
https://untalent.org/jobs/consultant-ethics-function,"**Organizational Setting**

The Director General's Office (DGO) provides leadership and coordination for all IAEA activities at the executive level for meeting Member States' needs, and achieving a o…",[],[],Consultant - Ethics Function,{'name': 'International Atomic Energy Agency'},[],consultant-ethics-function,,2025-07-13T21:59:00+00:00
https://untalent.org/jobs/technical-officer-enterprises-just-transition-and-skills,"**Grade:** P3

**No. du poste:** Technical Officer, Enterprises, Just Transition, and Skills 
**Date de publication: 28 juin 2025 
Date de clôture (minuit, heure de Dakar): 11 juillet 2025**

**Job I…",[],[],"Technical Officer, Enterprises, Just Transition, and Skills","{'name': 'International Labour Organization', 'slug': 'ilo'}","[{'name': 'Dakar', 'latitude': 14.693425, 'longitude': -17.447938}]",technical-officer-enterprises-just-transition-and-skills,,
https://untalent.org/jobs/health-and-nutrition-coordinator-gadaref,,"[{'name': 'Programme & Policy'}, {'name': 'Medical & Health'}]",[],Health and Nutrition Coordinator - Gadaref,{'name': 'Save the Children'},[],health-and-nutrition-coordinator-gadaref,,
https://untalent.org/jobs/home-based-consultancy-tsi-national-education-specialist-consultant-slovak-language-is-required-for-ecaro,"UNICEF works in some of the world’s toughest places, to reach the world’s most disadvantaged children. To save their lives. To defend their rights. To help them fulfill their potential.

Across 190 c…","[{'name': 'Programme & Policy'}, {'name': 'Teaching & Training'}]",[{'name': 'Consultant'}],Home based consultancy: TSI National Education Specialist-Consultant (Slovak language is required) for ECARO,"{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}",[],home-based-consultancy-tsi-national-education-specialist-consultant-slovak-language-is-required-for-ecaro,True,2025-07-03T21:55:00+00:00
https://untalent.org/jobs/consultancy-gbvie-online-learning-consultant-req,"UNICEF works in some of the world’s toughest places, to reach the world’s most disadvantaged children. To save their lives. To defend their rights. To help them fulfill their potential.

Across 190 c…",[{'name': 'Programme & Policy'}],[{'name': 'Consultant'}],Consultancy: GBViE/ Online Learning Consultant - Req,"{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'New York', 'latitude': 40.7127281, 'longitude': -74.0060152}]",consultancy-gbvie-online-learning-consultant-req,,2025-07-05T03:55:00+00:00
